evt_block_time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmountArrange,interestRate,auctionDuration,tokenId
2023-05-07 14:29:11.000 UTC,0x47abc43a2c753891609956bdd38484922ab5b842dfb74f33985661a897a9a87b,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,0x8bc110db7029197c3621bea8092ab1996d5dd7be,12.29,0,9000,5127
2023-05-07 15:03:59.000 UTC,0x045007419255e33c465dff6b5db272d69afaefa562349dc7f38b11d7b9df053a,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x728b3de78c3bd3e9c970524ca6aae1f8d6a61996,0xaae32d2fd3e3da9092c45017ee0420d96a38f768,13.01,0,9000,6500
2023-05-07 15:10:11.000 UTC,0x740482f8f5d0344b83c5181e6894d4b4a01aaf550dc8d938290c5defb108590e,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x886cf70bab66becc693417c79c40e4d5e67f9252,0xaae32d2fd3e3da9092c45017ee0420d96a38f768,12.91,0,9000,5922
2023-05-07 15:16:23.000 UTC,0x44397440a2de01d2a6606f6a99b44d625f392abc54ebc2fa1ecfeb58fca5d9de,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x4f33d206eaeccc0674158bcbcf44711b9454d7ac,0x39d12116298f3b2b55e53e7b99c0bf47041761df,13.21,0.07,9000,7070
2023-05-07 15:21:59.000 UTC,0xcdeff508fa8ecf1c02fa504809ddddca11f2c04fc3b0b7a180915c1e6a057c45,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xb06114b9997a4a16a078c4107d8eba74a869be4e,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,12.97,0,9000,6727
2023-05-07 16:20:35.000 UTC,0xb4e6a264d58cae533bbac61fb6d0564c08fc6e1a4078b97bd788fb5490e514bb,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x53831c17c99e3fd128fa356fe2037fe26a0ae156,0x89995a0f98453b9b0442e5095297013f714b0c8e,3.09,0,9000,7919
2023-05-07 17:29:23.000 UTC,0x0a44003315dc9dbcd412f7998971e8adc3e6f469acbfe890268ef363c9ca2c94,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xd25821e8b44cae1d6060172ea6891d2ce9fad669,0x73d30ba3dc4ffd17c28cc2d75d12e50df98f29cf,12.28,0,9000,1346
2023-05-07 18:12:23.000 UTC,0x4f46b4ad93ff8e5b776e04cfcc75be5d009b0c4b688662b8a44fab52b3f672b1,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xb2ee8af0d4435950380f67816da29caa6fc76793,12.97,0,9000,7154
2023-05-07 18:40:23.000 UTC,0x947166a13a45a5c3e8b8d73a039ad1b1b1cad03f317dd858e1f9afad080636cc,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x5ecc70186589306fc6d92538b9fc5684c9c81994,0xef64327f69973c1d9c2c20ce13d8b08889a47be0,13.25866752,0,9000,6472
2023-05-07 18:52:59.000 UTC,0x5491707b518be706e716ef960d80c632ed96fd1b87a5e61f85f1177028d87185,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,0xaf0f4479af9df756b9b2c69b463214b9a3346443,13.25,0.68,9000,3251
